First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Tom,Aaron,,,155.0,,Unrecorded,5,3,0,
Danny,Abbadi,The Assassin,71.0,155.0,,Orthodox,4,6,0,
Nariman,Abbasov,Bayraktar,68.0,155.0,66.0,Orthodox,28,4,0,
David,Abbott,Tank,72.0,265.0,,Switch,10,15,0,
Hamdy,Abdelwahab,The Hammer,74.0,264.0,72.0,Southpaw,6,0,0,
Mansur,Abdul-Malik,,74.0,185.0,79.0,Orthodox,8,0,0,
Shamil,Abdurakhimov,Abrek,75.0,235.0,76.0,Orthodox,20,8,0,
Hiroyuki,Abe,Abe Ani,66.0,145.0,,Orthodox,8,15,3,
Daichi,Abe,,71.0,170.0,71.0,Orthodox,6,2,0,
Papy,Abedi,Makambo,71.0,185.0,,Southpaw,10,4,0,
Ricardo,Abreu,Demente,71.0,185.0,,Orthodox,5,1,0,
Klidson,Abreu,White Bear,72.0,205.0,74.0,Orthodox,15,4,0,
Cyborg,Abreu,,,,,Unrecorded,0,0,0,
Daniel,Acacio,,68.0,180.0,,Orthodox,30,18,0,
John,Adajar,The Outlaw,69.0,170.0,75.0,Orthodox,6,2,0,
Scott,Adams,,72.0,225.0,,Southpaw,8,1,0,
Juan,Adams,The Kraken,77.0,265.0,80.0,Orthodox,5,3,0,
Anthony,Adams,Sugafoot,73.0,185.0,76.0,Orthodox,8,2,0,
Zarrukh,Adashev,The Lion,65.0,125.0,65.0,Southpaw,4,4,0,
Israel,Adesanya,The Last Stylebender,76.0,185.0,80.0,Switch,24,5,0,
Sam,Adkins,The Experience,75.0,225.0,,Orthodox,7,20,2,
Mohamed,Ado,,71.0,170.0,76.0,Switch,5,1,0,
Nick,Agallar,,68.0,155.0,,Orthodox,24,6,0,
Mariya,Agapova,Money Mashka,66.0,125.0,68.0,Southpaw,10,5,0,
Kantharaj,Agasa,Kannadiga,,135.0,,Unrecorded,12,3,0,
Marcelo,Aguiar,,70.0,170.0,,Orthodox,2,3,1,
Fabio,Aguiar,,72.0,185.0,,Unrecorded,17,1,0,
Edwin,Aguilar,Tigre,70.0,185.0,,Unrecorded,26,19,0,
Jessica,Aguilar,Jag,63.0,115.0,63.0,Orthodox,20,8,0,
Kevin,Aguilar,Angel of Death,67.0,155.0,73.0,Orthodox,17,5,0,
Jesus,Aguilar,,64.0,125.0,62.0,Orthodox,11,3,0,
Christian,Aguilera,The Beast,69.0,170.0,72.0,Switch,14,8,0,
Nick,Aguirre,Slick,69.0,135.0,74.0,Southpaw,7,2,0,
Mike,Aina,Iron,69.0,155.0,,Orthodox,14,6,1,
Ashiek,Ajim,Peak Physique,68.0,135.0,71.0,Switch,6,2,0,
Hitomi,Akano,Girlfight Monster,64.0,135.0,,Southpaw,18,10,0,
Omari,Akhmedov,Wolverine,72.0,185.0,73.0,Orthodox,21,6,1,
Yoshihiro,Akiyama,,70.0,170.0,75.0,Orthodox,14,6,0,
Rostem,Akman,,70.0,170.0,72.0,Switch,6,2,0,
